Date,N1,N2,N3,N4,N5,MEGA_BALL
30-Mar-2010,1,11,24,38,44,41
2-Apr-2010,2,17,22,30,31,19
6-Apr-2010,16,43,44,52,56,26
9-Apr-2010,15,18,39,48,53,3
13-Apr-2010,3,12,27,39,47,32
16-Apr-2010,10,16,31,48,50,44
20-Apr-2010,5,8,10,34,42,25
23-Apr-2010,19,26,28,37,52,18
27-Apr-2010,23,37,41,50,55,6
30-Apr-2010,14,20,41,47,53,40
4-May-2010,9,21,31,36,43,8
7-May-2010,2,7,20,34,50,40
11-May-2010,26,33,43,46,54,9
14-May-2010,20,21,40,47,56,12
18-May-2010,11,13,19,37,40,26
21-May-2010,15,20,23,26,30,17
25-May-2010,5,14,17,19,24,25
28-May-2010,3,11,20,29,39,26
1-Jun-2010,12,27,44,45,51,30
4-Jun-2010,12,13,15,17,50,23
8-Jun-2010,12,18,28,48,54,6
11-Jun-2010,6,13,33,34,42,25
15-Jun-2010,4,12,13,21,27,46
18-Jun-2010,11,36,37,41,55,7
22-Jun-2010,12,17,21,23,30,24
25-Jun-2010,1,2,13,19,27,21
29-Jun-2010,3,4,15,27,37,35
2-Jul-2010,1,10,12,32,36,25
6-Jul-2010,8,18,45,47,50,36
9-Jul-2010,1,31,33,34,50,41
13-Jul-2010,7,11,14,15,34,14
16-Jul-2010,2,15,18,20,39,34
20-Jul-2010,12,18,28,36,43,19
23-Jul-2010,16,19,39,44,49,26
27-Jul-2010,2,7,10,16,29,8
30-Jul-2010,11,30,40,48,52,42
3-Aug-2010,4,13,20,22,56,32
6-Aug-2010,7,13,30,33,54,30
10-Aug-2010,2,14,26,50,56,12
13-Aug-2010,6,17,24,43,55,36
17-Aug-2010,11,19,40,43,44,33
20-Aug-2010,4,13,20,29,48,36
24-Aug-2010,4,23,24,28,32,31
27-Aug-2010,4,10,26,32,41,31
31-Aug-2010,10,20,29,47,48,38
3-Sep-2010,10,13,20,28,36,9
7-Sep-2010,8,18,22,24,38,23
10-Sep-2010,11,12,17,21,23,20
14-Sep-2010,6,14,50,55,56,1
17-Sep-2010,3,4,14,18,27,13
21-Sep-2010,3,20,43,47,52,26
24-Sep-2010,2,28,38,42,55,25
28-Sep-2010,2,10,13,36,38,18
1-Oct-2010,3,8,21,28,52,43
5-Oct-2010,10,19,24,37,44,27
8-Oct-2010,24,29,37,48,50,19
12-Oct-2010,10,31,36,37,43,15
15-Oct-2010,9,10,13,31,50,10
19-Oct-2010,2,9,14,37,42,41
22-Oct-2010,2,7,18,32,53,18
26-Oct-2010,15,21,30,31,32,26
29-Oct-2010,4,19,26,28,39,14
2-Nov-2010,1,3,12,16,54,46
5-Nov-2010,19,25,34,46,53,15
9-Nov-2010,8,26,28,33,53,11
12-Nov-2010,9,26,28,35,38,10
16-Nov-2010,1,26,27,39,46,21
19-Nov-2010,7,14,31,51,54,35
23-Nov-2010,2,6,12,34,35,33
26-Nov-2010,5,9,34,43,47,8
30-Nov-2010,11,16,19,47,53,2
3-Dec-2010,6,11,12,18,56,12
7-Dec-2010,4,38,45,53,54,9
10-Dec-2010,23,27,33,44,46,36
14-Dec-2010,18,22,25,31,38,29
17-Dec-2010,11,20,26,46,53,12
21-Dec-2010,8,11,12,31,32,29
24-Dec-2010,15,16,27,40,52,16
28-Dec-2010,6,18,36,40,49,7
31-Dec-2010,10,12,13,35,56,9
4-Jan-2011,4,8,15,25,47,42
7-Jan-2011,4,22,42,46,53,20
11-Jan-2011,1,4,11,16,45,37
14-Jan-2011,2,15,17,33,35,8
18-Jan-2011,4,27,29,38,45,5
21-Jan-2011,5,9,21,35,38,20
25-Jan-2011,5,8,31,46,50,4
28-Jan-2011,14,33,48,49,50,18
1-Feb-2011,16,22,23,26,35,31
4-Feb-2011,6,20,29,48,55,6
8-Feb-2011,25,35,36,47,48,18
11-Feb-2011,8,9,17,32,34,13
15-Feb-2011,17,18,24,35,39,18
18-Feb-2011,5,6,7,30,45,42
22-Feb-2011,15,22,23,48,55,31
25-Feb-2011,4,5,17,19,50,7
1-Mar-2011,1,12,19,20,47,25
4-Mar-2011,8,10,15,23,41,7
8-Mar-2011,3,17,19,41,55,24
11-Mar-2011,14,19,21,42,45,6
15-Mar-2011,10,11,12,28,43,45
18-Mar-2011,14,33,34,54,56,37
22-Mar-2011,1,14,35,50,53,43
25-Mar-2011,22,24,31,52,54,4
29-Mar-2011,6,15,23,34,38,43
1-Apr-2011,13,14,35,36,53,19
5-Apr-2011,1,19,20,31,36,9
8-Apr-2011,6,40,45,50,56,11
12-Apr-2011,10,23,39,41,45,15
15-Apr-2011,22,23,33,39,48,29
19-Apr-2011,20,24,32,45,51,43
22-Apr-2011,3,18,46,51,53,17
26-Apr-2011,19,29,32,38,55,15
29-Apr-2011,9,10,11,33,51,29
3-May-2011,1,16,29,36,50,16
6-May-2011,6,18,26,37,41,9
10-May-2011,11,16,34,40,51,34
13-May-2011,3,33,39,47,53,9
17-May-2011,1,2,17,25,48,45
20-May-2011,10,17,19,45,48,30
24-May-2011,9,12,21,42,43,42
27-May-2011,5,7,14,28,56,10
31-May-2011,28,30,31,37,55,13
3-Jun-2011,20,23,41,49,53,31
7-Jun-2011,29,32,35,47,52,13
10-Jun-2011,18,21,27,37,38,7
14-Jun-2011,9,10,20,51,53,24
17-Jun-2011,12,29,46,47,51,24
21-Jun-2011,11,24,25,31,46,17
24-Jun-2011,10,14,40,49,51,4
28-Jun-2011,12,17,27,47,48,33
1-Jul-2011,12,17,30,35,47,26
5-Jul-2011,1,10,13,18,46,19
8-Jul-2011,1,2,22,37,50,45
12-Jul-2011,3,9,11,44,49,9
15-Jul-2011,16,29,30,46,56,6
19-Jul-2011,2,9,10,16,35,40
22-Jul-2011,23,31,32,39,56,38
26-Jul-2011,20,25,35,52,55,10
29-Jul-2011,8,10,22,47,48,35
2-Aug-2011,14,17,19,20,32,28
5-Aug-2011,6,24,28,33,42,19
9-Aug-2011,11,19,39,45,54,15
12-Aug-2011,9,43,51,54,55,13
16-Aug-2011,4,38,41,42,43,44
19-Aug-2011,5,15,53,54,56,22
23-Aug-2011,11,21,44,48,49,23
26-Aug-2011,2,3,27,30,47,36
30-Aug-2011,2,22,25,28,50,18
2-Sep-2011,25,44,48,49,55,20
6-Sep-2011,1,36,38,42,49,19
9-Sep-2011,7,12,19,23,31,45
13-Sep-2011,22,31,43,48,56,45
16-Sep-2011,6,23,41,45,56,24
20-Sep-2011,6,29,38,50,51,39
23-Sep-2011,21,27,32,40,52,36
27-Sep-2011,2,20,28,36,45,37
30-Sep-2011,3,19,21,44,45,29
4-Oct-2011,3,26,40,45,52,11
7-Oct-2011,5,15,19,23,38,19
11-Oct-2011,25,34,38,44,56,27
14-Oct-2011,13,35,42,45,54,26
18-Oct-2011,24,25,45,47,53,42
21-Oct-2011,6,21,35,37,38,17
25-Oct-2011,13,33,40,44,46,8
28-Oct-2011,13,31,49,52,56,41
1-Nov-2011,27,31,39,40,46,36
4-Nov-2011,26,30,32,33,44,1
8-Nov-2011,5,31,45,47,54,4
11-Nov-2011,2,16,22,29,50,27
15-Nov-2011,3,6,24,30,33,21
18-Nov-2011,4,13,33,39,55,3
22-Nov-2011,4,16,23,33,48,38
25-Nov-2011,22,28,42,49,54,43
29-Nov-2011,17,29,43,48,52,36
2-Dec-2011,24,30,48,51,56,45
6-Dec-2011,7,21,29,35,49,39
9-Dec-2011,4,12,29,49,51,44
13-Dec-2011,5,6,22,26,41,6
16-Dec-2011,2,4,26,36,39,27
20-Dec-2011,20,24,27,45,51,31
23-Dec-2011,3,5,8,18,29,14
27-Dec-2011,23,32,33,39,43,8
30-Dec-2011,4,24,45,46,52,1
3-Jan-2012,2,3,15,22,36,23
6-Jan-2012,9,17,28,34,48,46
10-Jan-2012,4,10,16,38,48,34
13-Jan-2012,10,27,28,37,51,19
17-Jan-2012,3,15,31,36,53,27
20-Jan-2012,1,9,28,38,47,8
24-Jan-2012,10,22,24,36,49,33
27-Jan-2012,3,5,30,36,48,23
31-Jan-2012,9,17,18,28,43,9
3-Feb-2012,7,19,21,49,53,35
7-Feb-2012,17,23,30,37,45,4
10-Feb-2012,3,4,18,29,50,20
14-Feb-2012,3,5,10,26,27,27
17-Feb-2012,16,25,28,32,40,3
21-Feb-2012,9,30,39,42,47,37
24-Feb-2012,1,16,18,25,27,3
28-Feb-2012,6,15,29,39,51,36
2-Mar-2012,16,29,48,52,54,5
6-Mar-2012,20,24,31,33,36,44
9-Mar-2012,9,10,27,36,42,11
13-Mar-2012,2,8,30,36,48,31
16-Mar-2012,28,29,43,51,53,7
20-Mar-2012,1,4,6,11,14,30
23-Mar-2012,6,17,19,20,21,20
27-Mar-2012,9,19,34,44,51,24
30-Mar-2012,2,4,23,38,46,23
3-Apr-2012,11,35,38,41,52,40
6-Apr-2012,2,19,20,24,33,39
10-Apr-2012,2,6,12,31,48,25
13-Apr-2012,9,14,17,36,42,33
17-Apr-2012,1,16,24,32,48,2
20-Apr-2012,14,23,26,33,35,40
24-Apr-2012,3,9,15,37,38,39
27-Apr-2012,2,5,45,46,47,37
1-May-2012,24,27,31,45,52,38
4-May-2012,4,11,21,42,53,38
8-May-2012,2,6,8,18,51,19
11-May-2012,3,15,29,35,54,8
15-May-2012,10,11,12,14,24,6
18-May-2012,3,11,22,34,49,1
22-May-2012,10,14,35,43,52,16
25-May-2012,9,15,21,40,54,11
29-May-2012,2,14,29,53,55,31
1-Jun-2012,2,27,38,46,52,45
5-Jun-2012,37,39,42,53,55,22
8-Jun-2012,4,9,34,40,48,25
12-Jun-2012,2,9,17,34,50,45
15-Jun-2012,8,12,18,30,40,4
19-Jun-2012,11,21,27,30,53,11
22-Jun-2012,10,16,19,32,36,13
26-Jun-2012,3,16,23,35,36,20
29-Jun-2012,28,34,39,45,53,34
3-Jul-2012,3,4,24,36,52,45
